time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/std,train/learning_rate,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/clip_fraction
1351,135168,66,99,0.605450451374054,-2.639686167240143,0.724846363067627,0.007416361,0.9038500785827637,0.0003,2.212943920493126,650,-0.00635164411214646,0.2,0.040234375
1352,137216,67,101,1.726988434791565,-2.634847694635391,0.78598552942276,0.007522012,0.9053019285202026,0.0003,2.849663902819157,660,-0.005786036571953446,0.2,0.0486328125
1352,139264,68,102,0.7408097386360168,-2.6386335283517837,0.808634877204895,0.0060773394,0.9050571918487549,0.0003,1.6914851628243923,670,-0.0044910590979270635,0.2,0.035791015625
1353,141312,69,104,0.3255520761013031,-2.635532873868942,0.776421308517456,0.0068710474,0.9038174152374268,0.0003,0.8917365878820419,680,-0.008844982262235134,0.2,0.0830078125
1353,143360,70,105,0.2853192090988159,-2.635183575749397,0.736377477645874,0.0059604323,0.9054493308067322,0.0003,1.2510894656181335,690,-0.0055568694922840224,0.2,0.035400390625
1354,145408,71,107,0.3884603679180145,-2.6416132926940916,0.742283821105957,0.0054215817,0.911029577255249,0.0003,2.5185495555400848,700,-0.003659939201315865,0.2,0.0310546875
1354,147456,72,108,1.1114859580993652,-2.6533400982618334,0.6572674512863159,0.005959371,0.914637565612793,0.0003,4.739218673110008,710,-0.006699201694573276,0.2,0.040771484375
1355,149504,73,110,1.7413941621780396,-2.6563400268554687,0.4882121682167053,0.003084051,0.9130373597145081,0.0003,4.142362734675407,720,-0.0034294705546926707,0.2,0.023095703125
1355,151552,74,111,1.7536611557006836,-2.6537413239479064,0.5642273426055908,0.0046131797,0.9132125973701477,0.0003,3.7880430802702905,730,-0.004125597290112637,0.2,0.03388671875
1356,153600,75,113,0.5771681070327759,-2.645650339126587,0.7277072668075562,0.005260013,0.903181791305542,0.0003,1.8366528764367103,740,-0.004145261412486434,0.2,0.03271484375
1357,155648,76,114,0.4923534095287323,-2.631399992108345,0.7257260084152222,0.006732282,0.9044932126998901,0.0003,1.6129085421562195,750,-0.005190534895518795,0.2,0.047705078125
1357,157696,77,116,1.6622329950332642,-2.6407650142908095,0.5549638271331787,0.0075907893,0.9110828638076782,0.0003,5.225579789280891,760,-0.00898130864079576,0.2,0.0564453125
1358,159744,78,117,0.9072144627571106,-2.6508605003356935,0.8183960318565369,0.0056012077,0.9107457399368286,0.0003,2.6223068624734878,770,-0.004743029302335344,0.2,0.025390625
1358,161792,79,119,0.1347242146730423,-2.643026092648506,0.9194920063018799,0.008582945,0.9035986661911011,0.0003,0.537191666662693,780,-0.008997822704259306,0.2,0.0580078125
1358,163840,80,120,0.3646591305732727,-2.6227684140205385,0.8424253463745117,0.0060981154,0.8920729160308838,0.0003,1.6209266684949397,790,-0.0053665076324250546,0.2,0.0392578125
1359,165888,81,122,0.28626975417137146,-2.6028587758541106,0.8993759155273438,0.006828471,0.8887977600097656,0.0003,1.0981885615736247,800,-0.006484621981508098,0.2,0.053173828125
1359,167936,82,123,0.07073767483234406,-2.6027080565690994,0.9364407062530518,0.0055989376,0.8911256790161133,0.0003,0.4586315857246518,810,-0.005024709168355912,0.2,0.066162109375
1360,169984,83,124,0.30351516604423523,-2.603928452730179,0.8984111547470093,0.004348856,0.8912547826766968,0.0003,1.3105164662003517,820,-0.004168497055070474,0.2,0.031884765625
1360,172032,84,126,0.4995209276676178,-2.603947827219963,0.8647350668907166,0.0050712973,0.8899859189987183,0.0003,1.741869080066681,830,-0.004820165788987652,0.2,0.04375
1361,174080,85,127,0.21046879887580872,-2.5987088054418566,0.9469988346099854,0.005270332,0.8860797882080078,0.0003,0.5309959691017866,840,-0.004974706386565231,0.2,0.023388671875
1361,176128,86,129,0.7847431302070618,-2.597055521607399,0.7951362133026123,0.004859466,0.8912830352783203,0.0003,1.9848716519773006,850,-0.003563458489952609,0.2,0.048779296875
1362,178176,87,130,0.9215090870857239,-2.6041362255811693,0.7457753419876099,0.007059783,0.8902285099029541,0.0003,1.7232664294540883,860,-0.005114080521161668,0.2,0.048828125
1362,180224,88,132,0.9261068105697632,-2.6026552736759188,0.8415701389312744,0.0054027922,0.8911058902740479,0.0003,2.5316610649228095,870,-0.00606612565316027,0.2,0.03212890625
1362,182272,89,133,0.8170058727264404,-2.607895502448082,0.8463231921195984,0.005585399,0.8952690362930298,0.0003,2.1535027846693993,880,-0.004965683782938868,0.2,0.04013671875
1363,184320,90,135,0.278373658657074,-2.6097212702035906,0.878415584564209,0.0046950206,0.888681173324585,0.0003,0.9069266356527805,890,-0.00482193109637592,0.2,0.029443359375
1363,186368,91,136,0.46466636657714844,-2.5973695665597916,0.6731736063957214,0.00590544,0.8888819217681885,0.0003,1.6639777034521104,900,-0.008682490716455504,0.2,0.0556640625
1364,188416,92,138,1.4535249471664429,-2.60251724421978,0.6229324340820312,0.004969897,0.8925048112869263,0.0003,2.391067820042372,910,-0.004644919565180317,0.2,0.033740234375
1364,190464,93,139,0.6555913090705872,-2.60229369699955,0.7773861289024353,0.004504148,0.8861674070358276,0.0003,2.048216277360916,920,-0.004448813729686663,0.2,0.032763671875
1364,192512,94,141,1.9739949703216553,-2.59312826693058,0.7162448167800903,0.0060383,0.8896655440330505,0.0003,4.666122090816498,930,-0.010789795842720195,0.2,0.039697265625
1364,194560,95,142,0.6118296980857849,-2.59959656894207,0.8160330653190613,0.007209007,0.8887564539909363,0.0003,1.5705196000635624,940,-0.006960659319884144,0.2,0.0791015625
1365,196608,96,143,0.47935950756073,-2.5980006486177443,0.9169747829437256,0.0053115073,0.8888137340545654,0.0003,1.4439254626631737,950,-0.005966194771463052,0.2,0.03447265625
1365,198656,97,145,0.5076543092727661,-2.602512758970261,0.7809220552444458,0.006384794,0.8943702578544617,0.0003,1.8896869130432605,960,-0.006226358207641169,0.2,0.0431640625
1365,200704,98,146,0.9129007458686829,-2.613189843297005,0.9183968305587769,0.0042744726,0.8960161209106445,0.0003,2.2993784457445146,970,-0.0033938204869627953,0.2,0.01982421875
1365,202752,99,148,0.3804851174354553,-2.614330717921257,0.8223925828933716,0.0034199613,0.8950124979019165,0.0003,1.8142010547220706,980,-0.003541795231285505,0.2,0.02177734375
1366,204800,100,149,0.16601625084877014,-2.6172055840492248,0.8765230178833008,0.0055221524,0.9012881517410278,0.0003,0.844168433174491,990,-0.0038293017831165345,0.2,0.02841796875
1366,206848,101,151,1.5334659814834595,-2.6303727656602858,0.7687085866928101,0.00358075,0.9024937152862549,0.0003,3.8661264955997465,1000,-0.0009592929214704782,0.2,0.012353515625
1366,208896,102,152,0.07789039611816406,-2.618795022368431,0.9604149460792542,0.0075312783,0.8905014991760254,0.0003,0.3336855022236705,1010,-0.006025463718106039,0.2,0.047119140625
1367,210944,103,154,0.2874920666217804,-2.597074657678604,0.9451309442520142,0.005492258,0.8830472826957703,0.0003,0.9685367114841938,1020,-0.0041622791468398646,0.2,0.042724609375
1367,212992,104,155,0.36435332894325256,-2.5834808856248856,0.9068873524665833,0.0061168033,0.8798542022705078,0.0003,1.0850059643387795,1030,-0.00552662123227492,0.2,0.03828125
1367,215040,105,157,0.08743549138307571,-2.5828150779008867,0.9539321064949036,0.009154044,0.8834583759307861,0.0003,0.33456775937229394,1040,-0.00964408811996691,0.2,0.0708984375
1367,217088,106,158,0.09914451092481613,-2.586921977996826,0.8814430832862854,0.008077499,0.8812165260314941,0.0003,0.44103796873241663,1050,-0.0030597242061048747,0.2,0.058154296875
1368,219136,107,160,0.4090123474597931,-2.5845937967300414,0.7482512593269348,0.0047557973,0.8829202651977539,0.0003,1.835333849489689,1060,-0.00408760072896257,0.2,0.036474609375
1368,221184,108,161,0.38133159279823303,-2.585360586643219,0.9120731949806213,0.004261301,0.879961371421814,0.0003,1.1778357408940792,1070,-0.003706610493827611,0.2,0.024853515625
1368,223232,109,163,0.3810259699821472,-2.5826615512371065,0.838867723941803,0.0046221977,0.8828827738761902,0.0003,1.9343283504247666,1080,-0.00363149581826292,0.2,0.026953125
1368,225280,110,164,0.4558694660663605,-2.5874738126993178,0.946532130241394,0.00518427,0.8815361857414246,0.0003,1.3278005339205265,1090,-0.0056405746552627535,0.2,0.033642578125
1369,227328,111,166,0.33026161789894104,-2.5863836973905565,0.8926221132278442,0.006104272,0.8835238218307495,0.0003,1.1240941539406777,1100,-0.004639860510360449,0.2,0.034814453125
1369,229376,112,167,0.0726824700832367,-2.581272879242897,0.9332055449485779,0.0074405144,0.8756469488143921,0.0003,0.3395618489012122,1110,-0.007629761222051457,0.2,0.065771484375
1369,231424,113,168,0.15077117085456848,-2.56623018682003,0.9691931009292603,0.003609906,0.871948778629303,0.0003,0.5227755965664983,1120,-0.0037554029142484067,0.2,0.043994140625
1369,233472,114,170,0.3020244240760803,-2.561777985095978,0.9158309698104858,0.0042787977,0.8722964525222778,0.0003,1.2053453873842954,1130,-0.007002446230035275,0.2,0.032666015625
1370,235520,115,171,0.09762304276227951,-2.56771782040596,0.8409312963485718,0.006940762,0.8759697675704956,0.0003,0.48077669106423854,1140,-0.0042403509491123256,0.2,0.02861328125
1370,237568,116,173,0.16800881922245026,-2.5712754279375076,0.9540675282478333,0.0071287425,0.8741851449012756,0.0003,0.4895155068486929,1150,-0.005282597581390292,0.2,0.049951171875
1370,239616,117,174,0.6333867907524109,-2.566000983119011,0.7929155826568604,0.0040481985,0.8717246055603027,0.0003,1.6925995886325835,1160,-0.004367363406345248,0.2,0.026806640625
